Frame_Number,Object_Info,Keypoint_15_X,Keypoint_15_Y,Keypoint_16_X,Keypoint_16_Y
140,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
141,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
142,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
143,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
144,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
145,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
146,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
147,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
148,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
149,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
150,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
151,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
152,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
153,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
154,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
155,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
156,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
157,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
158,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
159,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
160,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
161,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
162,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
163,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
164,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
165,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
166,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
167,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 874, 'Status': 'Not Moving'}"
168,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 874, 'Status': 'Not Moving'}"
169,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 874, 'Status': 'Not Moving'}"
170,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
171,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
172,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
173,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
174,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 874, 'Status': 'Not Moving'}"
175,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
176,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
177,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
178,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
179,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
180,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 873, 'Status': 'Not Moving'}"
181,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 972, 'Center_Y': 874, 'Status': 'Not Moving'}"
182,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
183,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
184,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
185,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
186,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
187,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
188,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 872, 'Status': 'Not Moving'}"
189,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 873, 'Status': 'Not Moving'}"
190,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 974, 'Center_Y': 874, 'Status': 'Not Moving'}"
191,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 975, 'Center_Y': 874, 'Status': 'Not Moving'}"
192,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 976, 'Center_Y': 874, 'Status': 'Not Moving'}"
193,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 977, 'Center_Y': 873, 'Status': 'Not Moving'}"
194,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 977, 'Center_Y': 873, 'Status': 'Not Moving'}"
195,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 976, 'Center_Y': 873, 'Status': 'Not Moving'}"
196,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 973, 'Center_Y': 874, 'Status': 'Not Moving'}"
197,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 971, 'Center_Y': 872, 'Status': 'Not Moving'}"
198,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 967, 'Center_Y': 870, 'Status': 'Not Moving'}"
199,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 962, 'Center_Y': 867, 'Status': 'Moving'}"
200,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 957, 'Center_Y': 863, 'Status': 'Moving'}"
201,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 950, 'Center_Y': 858, 'Status': 'Moving'}"
202,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 944, 'Center_Y': 851, 'Status': 'Moving'}"
203,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 934, 'Center_Y': 843, 'Status': 'Moving'}"
204,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 924, 'Center_Y': 837, 'Status': 'Moving'}"
205,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 915, 'Center_Y': 832, 'Status': 'Moving'}"
206,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 906, 'Center_Y': 826, 'Status': 'Moving'}"
207,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 894, 'Center_Y': 820, 'Status': 'Moving'}"
208,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 882, 'Center_Y': 815, 'Status': 'Moving'}"
209,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 872, 'Center_Y': 810, 'Status': 'Moving'}"
